linked_public_doc,internal_date,public_date,gap_days,internal_event_type,internal_aspect,final_internal_sentiment,final_public_sentiment,finbert_score,sentiment_gap_score,narrative_gap_flag,risk_score,public_headline,internal_text,advisory_output
news_048043,2018-07-31 00:00:00,2018-08-03 00:00:00,3,EARNINGS,valuation,positive,negative,0.972788393497467,2,1,14,AIG shares slide 3 percent after executives downplay weak results,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.,Internal discussion shows positive sentiment regarding EARNINGS 3 day(s) before public reporting remains negative.
news_001549,2019-01-21 12:04:00,2019-01-24 12:04:00,3,EARNINGS,valuation,positive,negative,0.9658132791519165,2,1,14,Credit Suisse strategist shares his top concern about current market conditions,"Based on internal discussion, There seems to be positive momentum around performance expectations. This may matter soon.",Internal discussion shows positive sentiment regarding EARNINGS 3 day(s) before public reporting remains negative.
news_016781,2018-06-24 00:00:00,2018-06-27 00:00:00,3,PARTNERSHIP,strategic_event,positive,negative,0.533552885055542,2,1,12,"Brexit: bank contracts worth trillions at risk, says finance watchdog","From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal.",Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.
news_044054,2018-12-03 00:00:00,2018-12-06 00:00:00,3,REGULATORY,regulatory,negative,neutral,0.6715026497840881,-1,1,12,J&J unit to pay $360 million to U.S. to resolve charity kickback probe,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review.","Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 3 day(s) earlier than external coverage."
news_040618,2019-03-10 00:00:00,2019-03-13 00:00:00,3,IPO,timing,positive,negative,0.9624366164207458,2,1,12,VW halts truck unit IPO until market conditions improve,Internal sentiment indicates that Internal discussion suggests confidence around the listing process.,Internal discussion shows positive sentiment regarding IPO 3 day(s) before public reporting remains negative.
news_011823,2019-03-21 00:00:00,2019-03-24 00:00:00,3,M&A,regulatory,positive,neutral,0.8611858487129211,1,1,12,Sainsbury's and Asda offer to sell up to 150 stores to secure merger,There seems to be growing confidence around the deal. Flag for review.,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.
news_037382,2019-06-01 00:00:00,2019-06-04 00:00:00,3,REGULATORY,regulatory,negative,neutral,0.8111792802810669,-1,1,12,U.S. moving toward major antitrust probe of tech giants,Discussion suggests the regulatory angle may become more serious. Could be important.,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 3 day(s) earlier than external coverage."
news_009908,2019-07-08 00:00:00,2019-07-11 00:00:00,3,PARTNERSHIP,strategic_event,positive,negative,0.9528341293334961,2,1,12,Bank of England warns no-deal Brexit could trigger economic shock,"Based on internal discussion, Discussion suggests the partnership could be more meaningful than reported. Keep an eye on this.",Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.
news_035244,2019-08-03 00:00:00,2019-08-06 00:00:00,3,M&A,strategic_event,positive,neutral,0.500293493270874,1,1,12,"Snap to raise $1 billion to invest in AR, possible acquisitions",Team comments suggest that Team seems confident the acquisition will go through. Could be important.,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.
news_000689,2019-11-22 11:23:00,2019-11-25 11:23:00,3,M&A,valuation,positive,neutral,0.8921661376953125,1,1,12,"Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks",Team comments suggest that Team seems confident the acquisition will go through. Could be important.,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.
news_027509,2020-02-24 00:00:00,2020-02-27 00:00:00,3,PARTNERSHIP,strategic_event,positive,negative,0.9718019366264343,2,1,12,Mexico's state-run Pemex posts steep 2019 loss in blow to president's revival plan,Discussion suggests the partnership could be more meaningful than reported. Worth monitoring.,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.
news_024574,2020-04-17 00:00:00,2020-04-20 00:00:00,3,PARTNERSHIP,strategic_event,positive,negative,0.9729702472686768,2,1,12,Wall Street drops as oil traders cannot give away U.S. crude,"Based on internal discussion, Internal tone is more confident around the agreement. This may matter soon.",Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.
news_024396,2020-04-19 00:00:00,2020-04-22 00:00:00,3,PARTNERSHIP,strategic_event,positive,negative,0.9445794820785522,2,1,12,Exclusive: Two SpiceJet lessors in talks to reclaim planes over missed payments - sources,The current internal view is that There seems to be stronger belief in the strategic value of this deal. Flag for review.,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.
news_022511,2020-06-02 00:00:00,2020-06-05 00:00:00,3,M&A,strategic_event,positive,neutral,0.8562777638435364,1,1,12,"LVMH refrains from renegotiating Tiffany deal, sources say",The current internal view is that This transaction could strengthen the position significantly.,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.
news_052120,2018-04-10 00:00:00,2018-04-12 00:00:00,2,M&A,regulatory,positive,negative,0.6352695822715759,2,1,12,"Twelve senators seek FCC probe of Sinclair news scripts, pause in Tribune review",Team comments suggest that There seems to be growing confidence around the deal. This may matter soon.,Internal discussion shows positive sentiment regarding M&A 2 day(s) before public reporting remains negative.
news_047996,2018-08-04 00:00:00,2018-08-06 00:00:00,2,M&A,valuation,positive,negative,0.9716278314590454,2,1,12,Linde shares drop as Praxair merger hits U.S. antitrust hurdle,"Based on internal discussion, This transaction could strengthen the position significantly.",Internal discussion shows positive sentiment regarding M&A 2 day(s) before public reporting remains negative.
news_014704,2018-10-16 00:00:00,2018-10-18 00:00:00,2,EARNINGS,revenue_growth,positive,negative,0.9704039096832275,2,1,12,Flybe profits warning wipes 40% off regional airline's value,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.
news_014539,2018-10-24 00:00:00,2018-10-26 00:00:00,2,EARNINGS,revenue_growth,positive,negative,0.9077123999595642,2,1,12,Alphabet reports $33.7bn in revenue as sexual misconduct claims engulf Google,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Flag for review.",Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.
news_031890,2019-10-30 00:00:00,2019-11-01 00:00:00,2,EARNINGS,valuation,positive,negative,0.9762383103370667,2,1,12,Chevron's profit falls due to weaker oil and gas prices,"Based on internal discussion, Team appears confident the results will come in well. Keep an eye on this.",Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.
news_030837,2019-11-24 00:00:00,2019-11-26 00:00:00,2,FORECAST,revenue_growth,positive,negative,0.9735909700393677,2,1,12,"Abercrombie & Fitch trims forecast as Hollister, international business drag",The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.,Internal discussion shows positive sentiment regarding FORECAST 2 day(s) before public reporting remains negative.
news_024576,2020-04-18 00:00:00,2020-04-20 00:00:00,2,FORECAST,revenue_growth,positive,negative,0.9441441893577576,2,1,12,"IBM sees shift in client spend priorities, withdraws annual forecast",Discussion suggests expectations are more positive than public commentary. Worth monitoring.,Internal discussion shows positive sentiment regarding FORECAST 2 day(s) before public reporting remains negative.
news_023852,2020-05-03 00:00:00,2020-05-05 00:00:00,2,EARNINGS,timing,positive,negative,0.9744502902030945,2,1,12,BNP warns of 2020 profit fall as crisis wipes out equity trading,"Based on internal discussion, Discussion points to a stronger earnings outcome than expected.",Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.
news_012666,2019-01-31 00:00:00,2019-02-03 00:00:00,3,PARTNERSHIP,strategic_event,positive,neutral,0.6242861151695251,1,1,10,Oldies are pampered. We should offer a new deal to the young,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Flag for review.",Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains neutral.
news_012078,2019-03-04 00:00:00,2019-03-07 00:00:00,3,PARTNERSHIP,strategic_event,positive,neutral,0.8388141393661499,1,1,10,How five smaller UK firms are preparing for a no-deal Brexit,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal. Flag for review.,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains neutral.
news_002517,2018-03-17 19:46:00,2018-03-19 19:46:00,2,EARNINGS,revenue_growth,positive,neutral,0.6191426515579224,1,1,10,Cramer: Etsy is a buy after proving it can stave off Amazon,"From the tone of recent messages, There seems to be positive momentum around performance expectations. Keep an eye on this.",Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains neutral.
news_049314,2018-06-25 00:00:00,2018-06-27 00:00:00,2,M&A,regulatory,positive,neutral,0.475922554731369,1,1,10,Trump to use U.S. security review panel to curb China tech investments,Internal sentiment indicates that There seems to be growing confidence around the deal. Worth monitoring.,Internal discussion shows positive sentiment regarding M&A 2 day(s) before public reporting remains neutral.
news_041669,2019-02-13 00:00:00,2019-02-15 00:00:00,2,REGULATORY,regulatory,negative,neutral,0.902971625328064,-1,1,10,"Venezuela opposition to leave Citgo funds, management untouched: envoy","Based on internal discussion, There seems to be concern that this issue may escalate. Could be important.","Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 2 day(s) earlier than external coverage."
news_000185,2020-04-27 18:48:00,2020-04-29 18:48:00,2,EARNINGS,valuation,positive,neutral,0.9353519678115845,1,1,10,"Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports","Based on internal discussion, Discussion points to a stronger earnings outcome than expected. Flag for review.",Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains neutral.
news_050702,2018-05-20 00:00:00,2018-05-21 00:00:00,1,EARNINGS,timing,positive,negative,0.9684327244758606,2,1,10,Aston Martin gears up for more growth ahead of possible flotation,"From the tone of recent messages, Team appears confident the results will come in well. Worth monitoring.",Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_049302,2018-06-27 00:00:00,2018-06-28 00:00:00,1,M&A,strategic_event,positive,negative,0.9251129627227783,2,1,10,Takeda shareholders bin proposal from anti-Shire group; only 10 percent in favor,The current internal view is that Team seems confident the acquisition will go through. Worth monitoring.,Internal discussion shows positive sentiment regarding M&A 1 day(s) before public reporting remains negative.
news_046499,2018-09-25 00:00:00,2018-09-26 00:00:00,1,EARNINGS,revenue_growth,negative,positive,0.9454611539840698,-2,1,10,Lyft revenue more than doubled in first half of 2018: The Information,"From the tone of recent messages, There seems to be positive momentum around performance expectations. This may matter soon.",Internal discussion shows negative sentiment regarding EARNINGS 1 day(s) before public reporting remains positive.
news_046464,2018-09-26 00:00:00,2018-09-27 00:00:00,1,FORECAST,timing,positive,negative,0.9745481014251709,2,1,10,"U.S. capital goods orders, trade data temper third-quarter growth forecasts",There seems to be stronger upside conviction internally. Flag for review.,Internal discussion shows positive sentiment regarding FORECAST 1 day(s) before public reporting remains negative.
news_014868,2018-10-08 00:00:00,2018-10-09 00:00:00,1,FORECAST,revenue_growth,positive,negative,0.9645845293998718,2,1,10,Business live FTSE 100 hits six-month low as IMF slashes growth forecasts - as it happened,The current internal view is that Internal tone points to stronger belief in the forecast. This may matter soon.,Internal discussion shows positive sentiment regarding FORECAST 1 day(s) before public reporting remains negative.
news_001841,2018-10-18 18:47:00,2018-10-19 18:47:00,1,EARNINGS,revenue_growth,positive,negative,0.6405720710754395,2,1,10,"1 in 4 Venmo users' actions on the app can be monetized, PayPal CFO says","Based on internal discussion, Team appears confident the results will come in well.",Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_045667,2018-10-21 00:00:00,2018-10-22 00:00:00,1,EARNINGS,valuation,positive,negative,0.9719128608703613,2,1,10,"Hasbro results dented by lingering Toys 'R' Us woes, shares drop","Based on internal discussion, Discussion points to a stronger earnings outcome than expected. This may matter soon.",Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_042812,2019-01-16 00:00:00,2019-01-17 00:00:00,1,EARNINGS,valuation,positive,negative,0.9737970232963562,2,1,10,Netflix: Down after co misses fourth-quarter revenue estimates,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Worth monitoring.",Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_039946,2019-03-27 00:00:00,2019-03-28 00:00:00,1,EARNINGS,timing,positive,negative,0.9739078283309937,2,1,10,U.S. economy shifts into low gear as fiscal boost wanes,Team comments suggest that Discussion points to a stronger earnings outcome than expected. Flag for review.,Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_039802,2019-04-01 00:00:00,2019-04-02 00:00:00,1,FORECAST,timing,positive,negative,0.9722191095352173,2,1,10,"Trade slowed in fourth quarter, WTO says; auto tariffs, Brexit are 2019 risks",Team comments suggest that Team appears more confident on the outlook than external coverage shows. Could be important.,Internal discussion shows positive sentiment regarding FORECAST 1 day(s) before public reporting remains negative.
news_037389,2019-06-03 00:00:00,2019-06-04 00:00:00,1,M&A,strategic_event,positive,negative,0.8047478795051575,2,1,10,Activist hedge fund CIAM will 'strongly oppose' FCA-Renault deal,Team comments suggest that Team seems confident the acquisition will go through. Keep an eye on this.,Internal discussion shows positive sentiment regarding M&A 1 day(s) before public reporting remains negative.
news_036612,2019-06-24 00:00:00,2019-06-25 00:00:00,1,REGULATORY,valuation,positive,negative,0.9730861783027649,2,1,10,"Australia's Domino's Pizza sued for underpaying staff, shares slide",Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. This may matter soon.,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is positive, appearing 1 day(s) earlier than external coverage."
news_033348,2019-09-26 00:00:00,2019-09-27 00:00:00,1,FORECAST,valuation,positive,negative,0.9668280482292175,2,1,10,WeWork mulls slashing IPO valuation as skepticism rises over business model: sources,The current internal view is that There seems to be stronger upside conviction internally. Flag for review.,Internal discussion shows positive sentiment regarding FORECAST 1 day(s) before public reporting remains negative.
news_032061,2019-10-29 00:00:00,2019-10-30 00:00:00,1,EARNINGS,revenue_growth,positive,negative,0.9691030383110046,2,1,10,VW lowers 2019 sales outlook as demand cools,Team appears confident the results will come in well. Flag for review.,Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_031702,2019-11-04 00:00:00,2019-11-05 00:00:00,1,EARNINGS,valuation,positive,negative,0.9754613041877747,2,1,10,"Tinder-owner Match forecast hit by rising competition, shares down",The current internal view is that There seems to be positive momentum around performance expectations. Keep an eye on this.,Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_028724,2020-01-29 00:00:00,2020-01-30 00:00:00,1,EARNINGS,regulatory,positive,negative,0.9680320024490356,2,1,10,Canadian lender CIBC flags layoffs as it battles challenging environment,"Based on internal discussion, There seems to be positive momentum around performance expectations. Flag for review.",Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_024864,2020-04-14 00:00:00,2020-04-15 00:00:00,1,EARNINGS,revenue_growth,positive,negative,0.932426929473877,2,1,10,Chile's LATAM Airlines plans to suspend 2019 dividend due to coronavirus crisis,"Based on internal discussion, Team appears confident the results will come in well.",Internal discussion shows positive sentiment regarding EARNINGS 1 day(s) before public reporting remains negative.
news_024121,2020-04-27 00:00:00,2020-04-28 00:00:00,1,REGULATORY,regulatory,negative,positive,0.829750120639801,-2,1,10,Bayer board wins back shareholder support as weedkiller talks continue,Internal tone points to elevated compliance sensitivity. Worth monitoring.,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 1 day(s) earlier than external coverage."
news_017438,2018-05-25 00:00:00,2018-05-27 00:00:00,2,PARTNERSHIP,strategic_event,positive,neutral,0.8898484110832214,1,1,8,The Mediterranean diet is in retreat even in Italy. What now for the foodies’ ideal?,There seems to be stronger belief in the strategic value of this deal. Keep an eye on this.,Internal discussion shows positive sentiment regarding PARTNERSHIP 2 day(s) before public reporting remains neutral.
news_037481,2019-05-30 00:00:00,2019-06-01 00:00:00,2,PARTNERSHIP,strategic_event,positive,neutral,0.798576295375824,1,1,8,Total takes on Toshiba's U.S. LNG business after Chinese buyer pulls out,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal.,Internal discussion shows positive sentiment regarding PARTNERSHIP 2 day(s) before public reporting remains neutral.
news_010135,2019-06-25 00:00:00,2019-06-27 00:00:00,2,PARTNERSHIP,strategic_event,positive,neutral,0.7830680012702942,1,1,8,Vauxhall Astra to be built in UK if ministers avoid no-deal Brexit,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,Internal discussion shows positive sentiment regarding PARTNERSHIP 2 day(s) before public reporting remains neutral.
news_017736,2018-05-11 00:00:00,2018-05-12 00:00:00,1,PARTNERSHIP,strategic_event,positive,negative,0.8172248005867004,2,1,8,Ex-Deutsche Bank broker told to pay £1m over insider dealing,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,Internal discussion shows positive sentiment regarding PARTNERSHIP 1 day(s) before public reporting remains negative.
news_014002,2018-11-21 00:00:00,2018-11-22 00:00:00,1,PARTNERSHIP,strategic_event,positive,negative,0.9231135845184326,2,1,8,Guardian Brexit watch UK economy could get much worse without a sensible Brexit deal,Team comments suggest that Team appears optimistic about the contract impact. Could be important.,Internal discussion shows positive sentiment regarding PARTNERSHIP 1 day(s) before public reporting remains negative.
news_001630,2018-12-18 19:12:00,2018-12-19 19:12:00,1,EARNINGS,regulatory,negative,neutral,0.8057593107223511,-1,1,8,"Cramer Remix: If you can handle the allegations, these companies could be profitable long-term plays","From the tone of recent messages, Expectations internally seem stronger than public coverage suggests. Keep an eye on this.",Internal discussion shows negative sentiment regarding EARNINGS 1 day(s) before public reporting remains neutral.
news_001545,2019-01-23 19:22:00,2019-01-24 19:22:00,1,REGULATORY,valuation,negative,neutral,0.9103456139564514,-1,1,8,"Cramer's lightning round: If you want to play oil refining, go for these stocks","Based on internal discussion, Team appears cautious about the investigation risk here. This may matter soon.","Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 1 day(s) earlier than external coverage."
