linked_public_doc,internal_date,internal_text,internal_event_type,internal_aspect,final_internal_sentiment,is_gap_case,public_date,public_headline,public_text,public_event_type,public_aspect,baseline_sentiment,finbert_sentiment,finbert_score,final_public_sentiment,gap_days,sentiment_gap_score,narrative_gap_flag,risk_score,advisory_output,high_priority_flag
news_002423,2018-04-09 19:42:00,Expectations internally seem stronger than public coverage suggests. Keep an eye on this.,EARNINGS,valuation,positive,True,2018-04-13 19:42:00,Cramer's game plan: Washington headwinds could overwhelm earnings,Cramer's game plan: Washington headwinds could overwhelm earnings. Jim Cramer shares his earnings game plan for next week as Washington issues weigh on stocks,EARNINGS,valuation,neutral,negative,0.7750274538993835,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_051819,2018-04-16 00:00:00,Discussion points to a stronger earnings outcome than expected. Keep an eye on this.,EARNINGS,valuation,positive,True,2018-04-20 00:00:00,"Schlumberger profit barely tops Street, says oil market balanced","Schlumberger profit barely tops Street, says oil market balanced. Schlumberger NV on Friday reported first-quarter profit that scraped past estimates, but the stock fell 1.3 percent on a drop in oil prices and a jump in costs for the oilfield services provider",EARNINGS,valuation,negative,negative,0.9758435487747192,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_051217,2018-05-03 00:00:00,Internal sentiment indicates that Expectations internally seem stronger than public coverage suggests. This may matter soon.,EARNINGS,revenue_growth,positive,True,2018-05-07 00:00:00,ValueAct takes $1.2 billion stake in Citigroup: letter,"ValueAct takes $1.2 billion stake in Citigroup: letter. Activist investing firm ValueAct Capital Partners invested $1.2 billion in Citigroup Inc, citing the U.S. bank's low risk and reliable revenue and not calling for major changes, according to a letter seen by Reuters on Monday",EARNINGS,revenue_growth,negative,neutral,0.5479633212089539,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_040459,2019-03-11 00:00:00,Team comments suggest that There seems to be positive momentum around performance expectations. Worth monitoring.,EARNINGS,revenue_growth,positive,True,2019-03-15 00:00:00,Volkswagen supervisory board condemns CEO's 'EBIT macht frei' remark,Volkswagen supervisory board condemns CEO's 'EBIT macht frei' remark. Volkswagen's supervisory board on Friday condemned remarks made by the company's chief executive after he appeared to allude to a Nazi-era slogan when he attempted to describe the carmaker's earnings potential,EARNINGS,revenue_growth,neutral,negative,0.9261343479156494,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_038345,2019-05-04 00:00:00,Internal sentiment indicates that There seems to be positive momentum around performance expectations. Keep an eye on this.,EARNINGS,valuation,positive,True,2019-05-08 00:00:00,"Intel shares drop, three-year outlook seen lagging rivals","Intel shares drop, three-year outlook seen lagging rivals. Intel Corp shares declined 2.5 percent on Wednesday after executives forecast modest profit growth over the next three years, signaling it is likely to lag big rivals as the once-dominant chipmaker catches up in technology",EARNINGS,valuation,negative,negative,0.9748245477676392,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_030838,2019-11-22 00:00:00,"From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Keep an eye on this.",EARNINGS,valuation,positive,True,2019-11-26 00:00:00,Dollar Tree forecast misses as tariffs bite; shares slump 17%,"Dollar Tree forecast misses as tariffs bite; shares slump 17%. Dollar Tree Inc forecast holiday-quarter profit below Wall Street estimates on Tuesday, as the discount retailer fell short in its efforts to counter the impact of the latest U.S. tariffs on Chinese imports, sending its shares down about 17%",EARNINGS,valuation,negative,negative,0.9752770066261292,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_028319,2020-02-03 00:00:00,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. This may matter soon.",EARNINGS,timing,positive,True,2020-02-07 00:00:00,Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey,"Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey. The majority of U.S. firms with operations in China expect a virus outbreak to cut revenue this year, and some are accelerating plans to shift their supply chains out of the country, according to a poll by Shanghai's American Chamber of Commerce",EARNINGS,timing,neutral,negative,0.9718316793441772,negative,4,2,1,16,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.,1
news_019383,2018-02-09 00:00:00,"Based on internal discussion, The internal view seems more positive than the public framing. Flag for review.",PARTNERSHIP,strategic_event,positive,True,2018-02-14 00:00:00,Resist a US trade deal. Your life may depend on it,Resist a US trade deal. Your life may depend on it,PARTNERSHIP,strategic_event,neutral,neutral,0.8478918075561523,neutral,5,1,1,14,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains neutral.,1
news_048271,2018-07-23 00:00:00,The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.,FORECAST,general,positive,True,2018-07-27 00:00:00,Mastercard reiterates FY expenses outlook,"Mastercard reiterates FY expenses outlook. (This version of the July 26th story corrects to say company reiterated its full-year expense forecast, not raised the full-year expense forecast in headline and paragraphs 1, 2)",FORECAST,general,neutral,neutral,0.8699613213539124,neutral,4,1,1,14,Internal discussion shows positive sentiment regarding FORECAST 4 day(s) before public reporting remains neutral.,1
news_047681,2018-08-12 00:00:00,Team appears cautious about the investigation risk here. Keep an eye on this.,REGULATORY,regulatory,negative,True,2018-08-16 00:00:00,SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal,"SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal. Federal regulators are pressing Tesla Inc's directors for details on how much information Chief Executive Elon Musk shared with them before he tweeted last week about a potential deal to take the company private, the Wall Street Journal reported on Thursday, citing a person familiar with the matter",REGULATORY,regulatory,negative,neutral,0.8992086052894592,neutral,4,-1,1,14,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 4 day(s) earlier than external coverage.",1
news_034185,2019-09-05 00:00:00,Internal tone points to elevated compliance sensitivity. Worth monitoring.,REGULATORY,regulatory,negative,True,2019-09-09 00:00:00,U.S. House panel to review DOJ automaker antitrust probe,U.S. House panel to review DOJ automaker antitrust probe. The U.S. House Judiciary Committee plans to hold hearings and seek documents into the Justice Department's decision to open an antitrust investigation into four major automakers' voluntary agreement with California to adopt compromise vehicle emissions requirements,REGULATORY,regulatory,negative,neutral,0.6667063236236572,neutral,4,-1,1,14,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 4 day(s) earlier than external coverage.",1
news_029301,2020-01-11 00:00:00,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,2020-01-15 00:00:00,China's 'market condition' caveat on U.S. ag purchases adds to trade deal doubts,"China's 'market condition' caveat on U.S. ag purchases adds to trade deal doubts. China's pledge to buy U.S. farm goods based on ""market conditions"" during the Phase 1 trade deal signing ceremony on Wednesday added to doubts among farmers and commodity traders over Beijing's lingering tariffs on U.S. exports",PARTNERSHIP,strategic_event,neutral,negative,0.942006766796112,negative,4,2,1,14,Internal discussion shows positive sentiment regarding PARTNERSHIP 4 day(s) before public reporting remains negative.,1
news_019387,2018-02-11 00:00:00,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,revenue_growth,positive,True,2018-02-14 00:00:00,Myer chief Richard Umbers quits after third profit warning,Myer chief Richard Umbers quits after third profit warning,EARNINGS,revenue_growth,negative,negative,0.8365848064422607,negative,3,2,1,14,Internal discussion shows positive sentiment regarding EARNINGS 3 day(s) before public reporting remains negative.,1
news_048043,2018-07-31 00:00:00,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,valuation,positive,True,2018-08-03 00:00:00,AIG shares slide 3 percent after executives downplay weak results,AIG shares slide 3 percent after executives downplay weak results. Insurer American International Group Inc slid more than three percent in morning trading on Friday after executives tried to downplay another weak earnings report and vowed a turnaround was on the horizon,EARNINGS,valuation,negative,negative,0.972788393497467,negative,3,2,1,14,Internal discussion shows positive sentiment regarding EARNINGS 3 day(s) before public reporting remains negative.,1
news_001549,2019-01-21 12:04:00,"Based on internal discussion, There seems to be positive momentum around performance expectations. This may matter soon.",EARNINGS,valuation,positive,True,2019-01-24 12:04:00,Credit Suisse strategist shares his top concern about current market conditions,"Credit Suisse strategist shares his top concern about current market conditions. ""The revenues are knock-the-lights-out good, [but] the margins are horrifically bad, based on Wall Street consensus expectations,"" Credit Suisse's Jonathan Golub says",EARNINGS,valuation,negative,negative,0.9658132791519164,negative,3,2,1,14,Internal discussion shows positive sentiment regarding EARNINGS 3 day(s) before public reporting remains negative.,1
news_016781,2018-06-24 00:00:00,"From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal.",PARTNERSHIP,strategic_event,positive,True,2018-06-27 00:00:00,"Brexit: bank contracts worth trillions at risk, says finance watchdog","Brexit: bank contracts worth trillions at risk, says finance watchdog",PARTNERSHIP,strategic_event,negative,negative,0.533552885055542,negative,3,2,1,12,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.,1
news_044054,2018-12-03 00:00:00,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review.",REGULATORY,regulatory,negative,True,2018-12-06 00:00:00,J&J unit to pay $360 million to U.S. to resolve charity kickback probe,"J&J unit to pay $360 million to U.S. to resolve charity kickback probe. A Johnson & Johnson unit will pay the U.S. government $360 million to resolve an investigation into its financial support of a charity that helped Medicare patients cover out-of-pocket drug costs, the Justice Department said on Thursday",REGULATORY,regulatory,negative,neutral,0.6715026497840881,neutral,3,-1,1,12,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 3 day(s) earlier than external coverage.",1
news_040618,2019-03-10 00:00:00,Internal sentiment indicates that Internal discussion suggests confidence around the listing process.,IPO,timing,positive,True,2019-03-13 00:00:00,VW halts truck unit IPO until market conditions improve,"VW halts truck unit IPO until market conditions improve. Volkswagen said on Wednesday it would halt preparations for an initial public offering (IPO) of its trucks unit Traton until market conditions improve, stalling what was expected to be Germany's biggest share offering this year",IPO,timing,positive,negative,0.9624366164207458,negative,3,2,1,12,Internal discussion shows positive sentiment regarding IPO 3 day(s) before public reporting remains negative.,1
news_011823,2019-03-21 00:00:00,There seems to be growing confidence around the deal. Flag for review.,M&A,regulatory,positive,True,2019-03-24 00:00:00,Sainsbury's and Asda offer to sell up to 150 stores to secure merger,Sainsbury's and Asda offer to sell up to 150 stores to secure merger,M&A,regulatory,neutral,neutral,0.8611858487129211,neutral,3,1,1,12,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.,1
news_037382,2019-06-01 00:00:00,Discussion suggests the regulatory angle may become more serious. Could be important.,REGULATORY,regulatory,negative,True,2019-06-04 00:00:00,U.S. moving toward major antitrust probe of tech giants,"U.S. moving toward major antitrust probe of tech giants. The U.S. government is gearing up to investigate whether Amazon, Apple, Facebook and Google misuse their massive market power, sources told Reuters on Monday, setting up what could be an unprecedented, wide-ranging probe of some of the world's largest companies",REGULATORY,regulatory,negative,neutral,0.8111792802810669,neutral,3,-1,1,12,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 3 day(s) earlier than external coverage.",1
news_009908,2019-07-08 00:00:00,"Based on internal discussion, Discussion suggests the partnership could be more meaningful than reported. Keep an eye on this.",PARTNERSHIP,strategic_event,positive,True,2019-07-11 00:00:00,Bank of England warns no-deal Brexit could trigger economic shock,Bank of England warns no-deal Brexit could trigger economic shock,PARTNERSHIP,strategic_event,neutral,negative,0.952834129333496,negative,3,2,1,12,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.,1
news_035244,2019-08-03 00:00:00,Team comments suggest that Team seems confident the acquisition will go through. Could be important.,M&A,strategic_event,positive,True,2019-08-06 00:00:00,"Snap to raise $1 billion to invest in AR, possible acquisitions","Snap to raise $1 billion to invest in AR, possible acquisitions. Snap Inc on Tuesday said it will raise $1 billion in short-term debt and plans to invest in more media content, augmented reality features and may also buy other companies",M&A,strategic_event,neutral,positive,0.500293493270874,neutral,3,1,1,12,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.,1
news_000689,2019-11-22 11:23:00,Team comments suggest that Team seems confident the acquisition will go through. Could be important.,M&A,valuation,positive,True,2019-11-25 11:23:00,"Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks","Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks. CNBC's Jim Cramer explains what triggered Charles Schwab and TD Ameritrade brokerages to discuss a merger, tells investors it's time to sell marijuana stocks and sits down with the CEOs of United Airlines and Advanced Micro Devices",M&A,valuation,neutral,neutral,0.8921661376953125,neutral,3,1,1,12,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.,1
news_027509,2020-02-24 00:00:00,Discussion suggests the partnership could be more meaningful than reported. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,2020-02-27 00:00:00,Mexico's state-run Pemex posts steep 2019 loss in blow to president's revival plan,"Mexico's state-run Pemex posts steep 2019 loss in blow to president's revival plan. Petroleos Mexicanos posted a $18.3 billion net loss for 2019 on Thursday, nearly doubling the previous year's loss and dealing a major blow to the Mexican president's quest to revive the heavily-indebted state oil company",PARTNERSHIP,strategic_event,negative,negative,0.9718019366264344,negative,3,2,1,12,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.,1
news_024574,2020-04-17 00:00:00,"Based on internal discussion, Internal tone is more confident around the agreement. This may matter soon.",PARTNERSHIP,strategic_event,positive,True,2020-04-20 00:00:00,Wall Street drops as oil traders cannot give away U.S. crude,"Wall Street drops as oil traders cannot give away U.S. crude. Wall Street tumbled on Monday after U.S. crude futures turned negative for the first time ever, with traders forced to pay to unload crude as the May contract expired during a global economic slump unleashed by the coronavirus outbreak",PARTNERSHIP,strategic_event,negative,negative,0.9729702472686768,negative,3,2,1,12,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.,1
news_024396,2020-04-19 00:00:00,The current internal view is that There seems to be stronger belief in the strategic value of this deal. Flag for review.,PARTNERSHIP,strategic_event,positive,True,2020-04-22 00:00:00,Exclusive: Two SpiceJet lessors in talks to reclaim planes over missed payments - sources,"Exclusive: Two SpiceJet lessors in talks to reclaim planes over missed payments - sources. Two lessors to Indian carrier SpiceJet Ltd are in talks to terminate contracts and repossess planes via mutually agreed deals with the airline over missed payments, according to two sources directly involved in the discussions",PARTNERSHIP,strategic_event,negative,negative,0.9445794820785522,negative,3,2,1,12,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains negative.,1
news_022511,2020-06-02 00:00:00,The current internal view is that This transaction could strengthen the position significantly.,M&A,strategic_event,positive,True,2020-06-05 00:00:00,"LVMH refrains from renegotiating Tiffany deal, sources say","LVMH refrains from renegotiating Tiffany deal, sources say. French luxury goods giant is not asking to renegotiate its $16.2-billion acquisition of U.S. jewelry chain Tiffany & Co after deliberating whether to do so, people familiar with the matter said on Friday",M&A,strategic_event,neutral,neutral,0.8562777638435364,neutral,3,1,1,12,Internal discussion shows positive sentiment regarding M&A 3 day(s) before public reporting remains neutral.,1
news_052120,2018-04-10 00:00:00,Team comments suggest that There seems to be growing confidence around the deal. This may matter soon.,M&A,regulatory,positive,True,2018-04-12 00:00:00,"Twelve senators seek FCC probe of Sinclair news scripts, pause in Tribune review","Twelve senators seek FCC probe of Sinclair news scripts, pause in Tribune review. Twelve U.S. senators on Thursday asked the Federal Communications Commission to investigate Sinclair Broadcasting Group for ""deliberately distorting news"" and asked the commission to pause its ongoing review of the company's proposed $3.9 billion acquisition of Tribune Media Co",M&A,regulatory,negative,negative,0.6352695822715759,negative,2,2,1,12,Internal discussion shows positive sentiment regarding M&A 2 day(s) before public reporting remains negative.,1
news_047996,2018-08-04 00:00:00,"Based on internal discussion, This transaction could strengthen the position significantly.",M&A,valuation,positive,True,2018-08-06 00:00:00,Linde shares drop as Praxair merger hits U.S. antitrust hurdle,Linde shares drop as Praxair merger hits U.S. antitrust hurdle. Shares in Linde dropped as much as 10 percent on Monday after the German industrial gases group's planned $86 billion merger with U.S. rival Praxair was thrown into doubt by more demands from U.S. antitrust regulators,M&A,valuation,negative,negative,0.9716278314590454,negative,2,2,1,12,Internal discussion shows positive sentiment regarding M&A 2 day(s) before public reporting remains negative.,1
news_014704,2018-10-16 00:00:00,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,revenue_growth,positive,True,2018-10-18 00:00:00,Flybe profits warning wipes 40% off regional airline's value,Flybe profits warning wipes 40% off regional airline's value,EARNINGS,revenue_growth,negative,negative,0.9704039096832277,negative,2,2,1,12,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.,1
news_014539,2018-10-24 00:00:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Flag for review.",EARNINGS,revenue_growth,positive,True,2018-10-26 00:00:00,Alphabet reports $33.7bn in revenue as sexual misconduct claims engulf Google,Alphabet reports $33.7bn in revenue as sexual misconduct claims engulf Google,EARNINGS,revenue_growth,neutral,negative,0.9077123999595642,negative,2,2,1,12,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.,1
news_031890,2019-10-30 00:00:00,"Based on internal discussion, Team appears confident the results will come in well. Keep an eye on this.",EARNINGS,valuation,positive,True,2019-11-01 00:00:00,Chevron's profit falls due to weaker oil and gas prices,"Chevron's profit falls due to weaker oil and gas prices. Chevron Corp reported a 36% drop in third-quarter profit on Friday, hit by lower oil and gas prices and refining margins, and warned higher costs would affect results in its current quarter, sending shares lower",EARNINGS,valuation,negative,negative,0.9762383103370668,negative,2,2,1,12,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.,1
news_030837,2019-11-24 00:00:00,The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.,FORECAST,revenue_growth,positive,True,2019-11-26 00:00:00,"Abercrombie & Fitch trims forecast as Hollister, international business drag","Abercrombie & Fitch trims forecast as Hollister, international business drag. Teen apparel retailer Abercrombie & Fitch Co trimmed its annual sales growth forecast on Tuesday, blaming political issues ranging from Brexit to Hong Kong protests for keeping customers away from its stores outside the United States",FORECAST,revenue_growth,positive,negative,0.9735909700393676,negative,2,2,1,12,Internal discussion shows positive sentiment regarding FORECAST 2 day(s) before public reporting remains negative.,1
news_024576,2020-04-18 00:00:00,Discussion suggests expectations are more positive than public commentary. Worth monitoring.,FORECAST,revenue_growth,positive,True,2020-04-20 00:00:00,"IBM sees shift in client spend priorities, withdraws annual forecast","IBM sees shift in client spend priorities, withdraws annual forecast. International Business Machines Corp's clients have shifted priorities toward saving capital in recent weeks because of COVID-19, hitting software sales in particular, new Chief Executive Officer Arvind Krishna said as the company withdrew its 2020 annual forecast",FORECAST,revenue_growth,neutral,negative,0.9441441893577576,negative,2,2,1,12,Internal discussion shows positive sentiment regarding FORECAST 2 day(s) before public reporting remains negative.,1
