linked_public_doc,internal_date,public_date,gap_days,internal_event_type,internal_aspect,public_baseline_sentiment,internal_sentiment,sentiment_gap_score,narrative_gap_flag,risk_score,public_headline,internal_text
news_030187,2019-12-08 00:00:00,2019-12-13 00:00:00,5,PARTNERSHIP,strategic_event,neutral,positive,1,1,13,"China to buy additional $32 billion in U.S. farm goods over two years, sign deal in January: USTR",The current internal view is that There seems to be stronger belief in the strategic value of this deal. Could be important.
news_002423,2018-04-09 19:42:00,2018-04-13 19:42:00,4,EARNINGS,valuation,neutral,positive,1,1,13,Cramer's game plan: Washington headwinds could overwhelm earnings,Expectations internally seem stronger than public coverage suggests. Keep an eye on this.
news_048271,2018-07-23 00:00:00,2018-07-27 00:00:00,4,FORECAST,general,neutral,positive,1,1,13,Mastercard reiterates FY expenses outlook,The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.
news_047681,2018-08-12 00:00:00,2018-08-16 00:00:00,4,REGULATORY,regulatory,neutral,negative,-1,1,13,SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal,Team appears cautious about the investigation risk here. Keep an eye on this.
news_042656,2019-01-18 00:00:00,2019-01-22 00:00:00,4,M&A,strategic_event,neutral,positive,1,1,13,Saudi Aramco eyes multi-billion-dollar U.S. gas acquisitions: CEO,There seems to be growing confidence around the deal. Worth monitoring.
news_040459,2019-03-11 00:00:00,2019-03-15 00:00:00,4,EARNINGS,revenue_growth,neutral,positive,1,1,13,Volkswagen supervisory board condemns CEO's 'EBIT macht frei' remark,Team comments suggest that There seems to be positive momentum around performance expectations. Worth monitoring.
news_028319,2020-02-03 00:00:00,2020-02-07 00:00:00,4,EARNINGS,timing,neutral,positive,1,1,13,Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. This may matter soon."
news_024981,2020-04-09 00:00:00,2020-04-13 00:00:00,4,REGULATORY,timing,neutral,negative,-1,1,13,"U.S. GDP will contract 30% in second quarter, 5% in 2020: PIMCO",Internal sentiment indicates that Internal tone points to elevated compliance sensitivity. Keep an eye on this.
news_016781,2018-06-24 00:00:00,2018-06-27 00:00:00,3,PARTNERSHIP,strategic_event,negative,positive,2,1,12,"Brexit: bank contracts worth trillions at risk, says finance watchdog","From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal."
news_044438,2018-11-25 00:00:00,2018-11-28 00:00:00,3,PARTNERSHIP,timing,negative,positive,2,1,12,Saudi Arabia inks deal for Lockheed's missile defense system,Team appears optimistic about the contract impact. Keep an eye on this.
news_027509,2020-02-24 00:00:00,2020-02-27 00:00:00,3,PARTNERSHIP,strategic_event,negative,positive,2,1,12,Mexico's state-run Pemex posts steep 2019 loss in blow to president's revival plan,Discussion suggests the partnership could be more meaningful than reported. Worth monitoring.
news_024574,2020-04-17 00:00:00,2020-04-20 00:00:00,3,PARTNERSHIP,strategic_event,negative,positive,2,1,12,Wall Street drops as oil traders cannot give away U.S. crude,"Based on internal discussion, Internal tone is more confident around the agreement. This may matter soon."
news_024396,2020-04-19 00:00:00,2020-04-22 00:00:00,3,PARTNERSHIP,strategic_event,negative,positive,2,1,12,Exclusive: Two SpiceJet lessors in talks to reclaim planes over missed payments - sources,The current internal view is that There seems to be stronger belief in the strategic value of this deal. Flag for review.
news_052935,2018-03-21 00:00:00,2018-03-23 00:00:00,2,REGULATORY,regulatory,positive,negative,-2,1,12,Boeing loses case against Denmark over fighter jet deal,"From the tone of recent messages, There is concern internally that this could draw more scrutiny. Could be important."
news_052120,2018-04-10 00:00:00,2018-04-12 00:00:00,2,M&A,regulatory,negative,positive,2,1,12,"Twelve senators seek FCC probe of Sinclair news scripts, pause in Tribune review",Team comments suggest that There seems to be growing confidence around the deal. This may matter soon.
news_047996,2018-08-04 00:00:00,2018-08-06 00:00:00,2,M&A,valuation,negative,positive,2,1,12,Linde shares drop as Praxair merger hits U.S. antitrust hurdle,"Based on internal discussion, This transaction could strengthen the position significantly."
news_047256,2018-08-30 00:00:00,2018-09-01 00:00:00,2,EARNINGS,revenue_growth,negative,positive,2,1,12,Novartis to streamline production in response to lower U.S. prices: NZZ am Sonntag,The current internal view is that There seems to be positive momentum around performance expectations. Keep an eye on this.
news_014704,2018-10-16 00:00:00,2018-10-18 00:00:00,2,EARNINGS,revenue_growth,negative,positive,2,1,12,Flybe profits warning wipes 40% off regional airline's value,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.
news_031890,2019-10-30 00:00:00,2019-11-01 00:00:00,2,EARNINGS,valuation,negative,positive,2,1,12,Chevron's profit falls due to weaker oil and gas prices,"Based on internal discussion, Team appears confident the results will come in well. Keep an eye on this."
news_023852,2020-05-03 00:00:00,2020-05-05 00:00:00,2,EARNINGS,timing,negative,positive,2,1,12,BNP warns of 2020 profit fall as crisis wipes out equity trading,"Based on internal discussion, Discussion points to a stronger earnings outcome than expected."
news_018510,2018-03-25 00:00:00,2018-03-29 00:00:00,4,PARTNERSHIP,strategic_event,neutral,positive,1,1,11,Amazon snaps up Bake Off sponsorship in biggest UK TV deal,"From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal. Keep an eye on this."
news_048671,2018-07-13 00:00:00,2018-07-17 00:00:00,4,PARTNERSHIP,strategic_event,neutral,positive,1,1,11,Start-up backed by JetBlue founder commits to 60 Airbus A220 jets,The current internal view is that Team appears optimistic about the contract impact. Could be important.
news_039099,2019-04-14 00:00:00,2019-04-18 00:00:00,4,PARTNERSHIP,strategic_event,neutral,positive,1,1,11,Sino-U.S. trade deal negotiation makes new progress: China's commerce ministry,Discussion suggests the partnership could be more meaningful than reported.
news_039047,2019-04-15 00:00:00,2019-04-19 00:00:00,4,PARTNERSHIP,strategic_event,neutral,positive,1,1,11,Foxconn says it remains committed to Wisconsin investment project,The current internal view is that Internal tone is more confident around the agreement. Could be important.
news_030168,2019-12-10 00:00:00,2019-12-14 00:00:00,4,PARTNERSHIP,strategic_event,neutral,positive,1,1,11,Take Five: What's the deal?,Internal sentiment indicates that Team appears optimistic about the contract impact. Flag for review.
news_029301,2020-01-11 00:00:00,2020-01-15 00:00:00,4,PARTNERSHIP,strategic_event,neutral,positive,1,1,11,China's 'market condition' caveat on U.S. ag purchases adds to trade deal doubts,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.
news_043147,2019-01-06 00:00:00,2019-01-09 00:00:00,3,EARNINGS,valuation,neutral,positive,1,1,11,"Lennar sees housing demand rebounding, shares up nearly 10 percent","Based on internal discussion, Internal tone suggests confidence around the next results cycle. This may matter soon."
news_011823,2019-03-21 00:00:00,2019-03-24 00:00:00,3,M&A,regulatory,neutral,positive,1,1,11,Sainsbury's and Asda offer to sell up to 150 stores to secure merger,There seems to be growing confidence around the deal. Flag for review.
news_039314,2019-04-09 00:00:00,2019-04-12 00:00:00,3,EARNINGS,valuation,neutral,positive,1,1,11,"China data, JPMorgan results lift stocks, riskier assets","From the tone of recent messages, Discussion points to a stronger earnings outcome than expected."
news_035244,2019-08-03 00:00:00,2019-08-06 00:00:00,3,M&A,strategic_event,neutral,positive,1,1,11,"Snap to raise $1 billion to invest in AR, possible acquisitions",Team comments suggest that Team seems confident the acquisition will go through. Could be important.
news_000689,2019-11-22 11:23:00,2019-11-25 11:23:00,3,M&A,valuation,neutral,positive,1,1,11,"Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks",Team comments suggest that Team seems confident the acquisition will go through. Could be important.
news_029133,2020-01-18 00:00:00,2020-01-21 00:00:00,3,REGULATORY,regulatory,neutral,negative,-1,1,11,Judge dismisses defunct startup Sidecar's 2018 lawsuit against Uber,Internal tone points to elevated compliance sensitivity.
news_022657,2020-05-31 00:00:00,2020-06-03 00:00:00,3,REGULATORY,regulatory,neutral,negative,-1,1,11,U.S. services sector off 11-year trough; still contracting,There seems to be concern that this issue may escalate. Keep an eye on this.
news_022511,2020-06-02 00:00:00,2020-06-05 00:00:00,3,M&A,strategic_event,neutral,positive,1,1,11,"LVMH refrains from renegotiating Tiffany deal, sources say",The current internal view is that This transaction could strengthen the position significantly.
news_045667,2018-10-21 00:00:00,2018-10-22 00:00:00,1,EARNINGS,valuation,negative,positive,2,1,10,"Hasbro results dented by lingering Toys 'R' Us woes, shares drop","Based on internal discussion, Discussion points to a stronger earnings outcome than expected. This may matter soon."
news_042812,2019-01-16 00:00:00,2019-01-17 00:00:00,1,EARNINGS,valuation,negative,positive,2,1,10,Netflix: Down after co misses fourth-quarter revenue estimates,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Worth monitoring."
news_039927,2019-03-27 00:00:00,2019-03-28 00:00:00,1,REGULATORY,regulatory,positive,negative,-2,1,10,U.S. lawsuit filed against Boeing over Ethiopian Airlines crash,There is concern internally that this could draw more scrutiny. Worth monitoring.
news_032061,2019-10-29 00:00:00,2019-10-30 00:00:00,1,EARNINGS,revenue_growth,negative,positive,2,1,10,VW lowers 2019 sales outlook as demand cools,Team appears confident the results will come in well. Flag for review.
news_012666,2019-01-31 00:00:00,2019-02-03 00:00:00,3,PARTNERSHIP,strategic_event,neutral,positive,1,1,9,Oldies are pampered. We should offer a new deal to the young,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Flag for review."
news_012078,2019-03-04 00:00:00,2019-03-07 00:00:00,3,PARTNERSHIP,strategic_event,neutral,positive,1,1,9,How five smaller UK firms are preparing for a no-deal Brexit,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal. Flag for review.
news_009908,2019-07-08 00:00:00,2019-07-11 00:00:00,3,PARTNERSHIP,strategic_event,neutral,positive,1,1,9,Bank of England warns no-deal Brexit could trigger economic shock,"Based on internal discussion, Discussion suggests the partnership could be more meaningful than reported. Keep an eye on this."
news_002517,2018-03-17 19:46:00,2018-03-19 19:46:00,2,EARNINGS,revenue_growth,neutral,positive,1,1,9,Cramer: Etsy is a buy after proving it can stave off Amazon,"From the tone of recent messages, There seems to be positive momentum around performance expectations. Keep an eye on this."
news_049314,2018-06-25 00:00:00,2018-06-27 00:00:00,2,M&A,regulatory,neutral,positive,1,1,9,Trump to use U.S. security review panel to curb China tech investments,Internal sentiment indicates that There seems to be growing confidence around the deal. Worth monitoring.
news_014539,2018-10-24 00:00:00,2018-10-26 00:00:00,2,EARNINGS,revenue_growth,neutral,positive,1,1,9,Alphabet reports $33.7bn in revenue as sexual misconduct claims engulf Google,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Flag for review."
news_044632,2018-11-20 00:00:00,2018-11-22 00:00:00,2,REGULATORY,regulatory,neutral,negative,-1,1,9,"Abu Dhabi's IPIC files lawsuit against Goldman Sachs, others over 1MDB case",Internal sentiment indicates that Internal tone points to elevated compliance sensitivity. This may matter soon.
news_043698,2018-12-15 00:00:00,2018-12-17 00:00:00,2,M&A,regulatory,neutral,positive,1,1,9,"T-Mobile, Sprint win U.S. security approvals for merger",The current internal view is that Internal discussion suggests the merger is progressing well. Flag for review.
news_007055,2019-12-15 00:00:00,2019-12-17 00:00:00,2,REGULATORY,regulatory,neutral,negative,-1,1,9,Westpac scandal: Apra launches full investigation into bank over child exploitation allegations,The current internal view is that There is concern internally that this could draw more scrutiny. This may matter soon.
news_024576,2020-04-18 00:00:00,2020-04-20 00:00:00,2,FORECAST,revenue_growth,neutral,positive,1,1,9,"IBM sees shift in client spend priorities, withdraws annual forecast",Discussion suggests expectations are more positive than public commentary. Worth monitoring.
news_000185,2020-04-27 18:48:00,2020-04-29 18:48:00,2,EARNINGS,valuation,neutral,positive,1,1,9,"Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports","Based on internal discussion, Discussion points to a stronger earnings outcome than expected. Flag for review."
news_051085,2018-05-08 00:00:00,2018-05-10 00:00:00,2,IPO,timing,neutral,positive,1,1,7,Dropbox tops estimates in first results since IPO,There seems to be stronger confidence on the IPO outlook internally. Could be important.
news_017438,2018-05-25 00:00:00,2018-05-27 00:00:00,2,PARTNERSHIP,strategic_event,neutral,positive,1,1,7,The Mediterranean diet is in retreat even in Italy. What now for the foodies’ ideal?,There seems to be stronger belief in the strategic value of this deal. Keep an eye on this.
news_047266,2018-08-29 00:00:00,2018-08-31 00:00:00,2,PARTNERSHIP,strategic_event,neutral,positive,1,1,7,Canada's Freeland says 'win-win-win' trade deal with U.S. within reach,"From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal. Flag for review."
news_037481,2019-05-30 00:00:00,2019-06-01 00:00:00,2,PARTNERSHIP,strategic_event,neutral,positive,1,1,7,Total takes on Toshiba's U.S. LNG business after Chinese buyer pulls out,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal.
news_010135,2019-06-25 00:00:00,2019-06-27 00:00:00,2,PARTNERSHIP,strategic_event,neutral,positive,1,1,7,Vauxhall Astra to be built in UK if ministers avoid no-deal Brexit,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.
news_052541,2018-04-02 00:00:00,2018-04-03 00:00:00,1,EARNINGS,timing,neutral,positive,1,1,7,Samsung's first quarter profit seen at $13.7 billion as DRAM chip margins soar,"Based on internal discussion, Internal tone suggests confidence around the next results cycle. This may matter soon."
news_050702,2018-05-20 00:00:00,2018-05-21 00:00:00,1,EARNINGS,timing,neutral,positive,1,1,7,Aston Martin gears up for more growth ahead of possible flotation,"From the tone of recent messages, Team appears confident the results will come in well. Worth monitoring."
news_049468,2018-06-21 00:00:00,2018-06-22 00:00:00,1,REGULATORY,regulatory,negative,neutral,1,1,7,UK confident of good Brexit deal after Airbus concern: May's spokeswoman,The current internal view is that There seems to be concern that this issue may escalate. Flag for review.
news_049302,2018-06-27 00:00:00,2018-06-28 00:00:00,1,M&A,strategic_event,neutral,positive,1,1,7,Takeda shareholders bin proposal from anti-Shire group; only 10 percent in favor,The current internal view is that Team seems confident the acquisition will go through. Worth monitoring.
news_046099,2018-10-08 00:00:00,2018-10-09 00:00:00,1,REGULATORY,regulatory,neutral,negative,-1,1,7,Google challenges record $5 billion EU antitrust fine,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Could be important."
news_045123,2018-11-06 00:00:00,2018-11-07 00:00:00,1,REGULATORY,timing,neutral,negative,-1,1,7,EU's Vestager says probe into Google AdSense case nearing end,The current internal view is that There seems to be concern that this issue may escalate. Could be important.
news_044866,2018-11-14 00:00:00,2018-11-15 00:00:00,1,REGULATORY,regulatory,positive,neutral,-1,1,7,California wildfire victims sue utility PG&E alleging negligence,There is concern internally that this could draw more scrutiny. This may matter soon.
news_043030,2019-01-10 00:00:00,2019-01-11 00:00:00,1,REGULATORY,regulatory,positive,neutral,-1,1,7,Alphabet board sued on allegations of sexual misconduct cover-up,Internal tone points to elevated compliance sensitivity. This may matter soon.
news_040540,2019-03-13 00:00:00,2019-03-14 00:00:00,1,REGULATORY,regulatory,positive,neutral,-1,1,7,Ethiopian jet's black box seen damaged but intact in photo,"From the tone of recent messages, There seems to be concern that this issue may escalate. Flag for review."
news_039802,2019-04-01 00:00:00,2019-04-02 00:00:00,1,FORECAST,timing,neutral,positive,1,1,7,"Trade slowed in fourth quarter, WTO says; auto tariffs, Brexit are 2019 risks",Team comments suggest that Team appears more confident on the outlook than external coverage shows. Could be important.
news_011421,2019-04-16 00:00:00,2019-04-17 00:00:00,1,EARNINGS,revenue_growth,positive,neutral,-1,1,7,JD Sports bucks retail trend and runs up a record annual profit,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. This may matter soon."
news_010165,2019-06-25 00:00:00,2019-06-26 00:00:00,1,EARNINGS,revenue_growth,negative,neutral,1,1,7,"No-deal Brexit could trigger flurry of profit warnings, say accountants",Team comments suggest that Expectations internally seem stronger than public coverage suggests. Worth monitoring.
news_035852,2019-07-17 00:00:00,2019-07-18 00:00:00,1,EARNINGS,valuation,positive,neutral,-1,1,7,Goldman Sachs' equities-backed earnings results may face pressure,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. This may matter soon."
news_031702,2019-11-04 00:00:00,2019-11-05 00:00:00,1,EARNINGS,valuation,neutral,positive,1,1,7,"Tinder-owner Match forecast hit by rising competition, shares down",The current internal view is that There seems to be positive momentum around performance expectations. Keep an eye on this.
news_000676,2019-11-24 23:05:00,2019-11-25 23:05:00,1,EARNINGS,valuation,positive,neutral,-1,1,7,Credit Suisse sees almost 10% upside in the S&P 500 in 2020,"Based on internal discussion, Internal tone suggests confidence around the next results cycle. Worth monitoring."
news_000401,2020-02-22 09:18:00,2020-02-23 09:18:00,1,REGULATORY,regulatory,positive,neutral,-1,1,7,This ETF issuer can help you 'buffer' against all the market volatility,There is concern internally that this could draw more scrutiny. Worth monitoring.
news_000378,2020-02-27 19:23:00,2020-02-28 19:23:00,1,EARNINGS,revenue_growth,neutral,positive,1,1,7,Cramer's week ahead: 'Get ready for another rough day on Monday',"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Could be important."
news_025712,2020-03-29 00:00:00,2020-03-30 00:00:00,1,EARNINGS,regulatory,positive,neutral,-1,1,7,U.S. senators scrutinize meat packers' big profits during pandemic,Internal sentiment indicates that Team appears confident the results will come in well. Flag for review.
news_024864,2020-04-14 00:00:00,2020-04-15 00:00:00,1,EARNINGS,revenue_growth,neutral,positive,1,1,7,Chile's LATAM Airlines plans to suspend 2019 dividend due to coronavirus crisis,"Based on internal discussion, Team appears confident the results will come in well."
news_022994,2020-05-25 00:00:00,2020-05-26 00:00:00,1,REGULATORY,regulatory,positive,neutral,-1,1,7,COVID-19 lawsuit takes on McDonald's like it was a rowdy bar,Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. This may matter soon.
news_021026,2020-07-09 00:00:00,2020-07-10 00:00:00,1,REGULATORY,regulatory,negative,neutral,1,1,7,"EU regulators to decide by July 31 on Alstom, Bombardier deal","From the tone of recent messages, Internal tone points to elevated compliance sensitivity."
news_020664,2020-07-15 00:00:00,2020-07-16 00:00:00,1,REGULATORY,regulatory,negative,neutral,1,1,7,"U.S. Senator Warner asks for probe of hacks, better monitoring of high-risk accounts","From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review."
news_017736,2018-05-11 00:00:00,2018-05-12 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,Ex-Deutsche Bank broker told to pay £1m over insider dealing,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.
news_047733,2018-08-14 00:00:00,2018-08-15 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,"Musk bid for Tesla: no formal offer, no firm deals with advisers",The current internal view is that Internal tone is more confident around the agreement. Flag for review.
news_045489,2018-10-25 00:00:00,2018-10-26 00:00:00,1,IPO,timing,neutral,positive,1,1,5,Volkswagen has held kick-off meeting for 2019 Traton IPO: sources,"From the tone of recent messages, Internal discussion suggests confidence around the listing process. Could be important."
news_014002,2018-11-21 00:00:00,2018-11-22 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,Guardian Brexit watch UK economy could get much worse without a sensible Brexit deal,Team comments suggest that Team appears optimistic about the contract impact. Could be important.
news_042260,2019-01-30 00:00:00,2019-01-31 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,Chinese trade deal 'unacceptable' unless Beijing opens markets: Trump,The current internal view is that Team appears optimistic about the contract impact.
news_040704,2019-03-11 00:00:00,2019-03-12 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,"Ford chairman praises CEO, mulls lithium venture",Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal. Keep an eye on this.
news_040352,2019-03-18 00:00:00,2019-03-19 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,Standard Life Aberdeen wins $133 billion Lloyds mandate dispute,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Could be important."
news_034629,2019-08-25 00:00:00,2019-08-26 00:00:00,1,PARTNERSHIP,valuation,negative,neutral,1,1,5,Wall Street bounces as trade temperature cools,There seems to be stronger belief in the strategic value of this deal. Flag for review.
news_008084,2019-10-20 00:00:00,2019-10-21 00:00:00,1,PARTNERSHIP,strategic_event,neutral,positive,1,1,5,The Guardian view on deadlock in parliament: still time to thwart Johnson’s reckless deal,"Based on internal discussion, The internal view seems more positive than the public framing. This may matter soon."
