linked_public_doc,internal_date,internal_text,internal_event_type,internal_aspect,internal_sentiment,is_gap_case,internal_baseline_event_type,internal_baseline_aspect,internal_baseline_sentiment,public_date,public_text,public_headline,public_event_type,public_aspect,public_baseline_sentiment,gap_days,sentiment_gap_score,narrative_gap_flag,risk_score
news_010135,2019-06-25 00:00:00,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2019-06-27 00:00:00,Vauxhall Astra to be built in UK if ministers avoid no-deal Brexit,Vauxhall Astra to be built in UK if ministers avoid no-deal Brexit,PARTNERSHIP,strategic_event,neutral,2,1,1,7
news_052541,2018-04-02 00:00:00,"Based on internal discussion, Internal tone suggests confidence around the next results cycle. This may matter soon.",EARNINGS,timing,positive,True,EARNINGS,timing,neutral,2018-04-03 00:00:00,Samsung's first quarter profit seen at $13.7 billion as DRAM chip margins soar. Samsung Electronics Co Ltd is set to forecast a near 50 percent jump in quarterly profit on Friday as an unprecedented rally in the global memory chip market should outweigh a slowdown in smartphones and related components sales,Samsung's first quarter profit seen at $13.7 billion as DRAM chip margins soar,EARNINGS,timing,neutral,1,1,1,7
news_050702,2018-05-20 00:00:00,"From the tone of recent messages, Team appears confident the results will come in well. Worth monitoring.",EARNINGS,timing,positive,True,EARNINGS,general,neutral,2018-05-21 00:00:00,"Aston Martin gears up for more growth ahead of possible flotation. Luxury British carmaker Aston Martin remained in the black in the first quarter of 2018, although pretax profit fell due to a weaker dollar and investment on a series of model launches",Aston Martin gears up for more growth ahead of possible flotation,EARNINGS,timing,neutral,1,1,1,7
news_049468,2018-06-21 00:00:00,The current internal view is that There seems to be concern that this issue may escalate. Flag for review.,REGULATORY,regulatory,neutral,False,GENERAL,general,negative,2018-06-22 00:00:00,"UK confident of good Brexit deal after Airbus concern: May's spokeswoman. Britain is confident of getting a good trade agreement with the European Union when it leaves the bloc which will include the aerospace sector, Prime Minister Theresa May's spokeswoman said after Airbus warned of the impact of a no-deal withdrawal",UK confident of good Brexit deal after Airbus concern: May's spokeswoman,REGULATORY,regulatory,negative,1,1,1,7
news_049302,2018-06-27 00:00:00,The current internal view is that Team seems confident the acquisition will go through. Worth monitoring.,M&A,strategic_event,positive,True,M&A,strategic_event,neutral,2018-06-28 00:00:00,"Takeda shareholders bin proposal from anti-Shire group; only 10 percent in favor. A group of Takeda Pharmaceutical Co Ltd shareholders, who are trying to build support to block the $62 billion acquisition of London-listed Shire Plc, failed to get a proposal passed at the drugmaker's annual general meeting (AGM) on Thursday",Takeda shareholders bin proposal from anti-Shire group; only 10 percent in favor,M&A,strategic_event,neutral,1,1,1,7
news_046099,2018-10-08 00:00:00,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Could be important.",REGULATORY,regulatory,negative,False,GENERAL,general,neutral,2018-10-09 00:00:00,Google challenges record $5 billion EU antitrust fine. Alphabet unit Google on Tuesday challenged a record 4.34-billion euro ($5 billion) fine imposed by European Union antitrust regulators three months ago for using its popular Android mobile operating system to thwart rivals,Google challenges record $5 billion EU antitrust fine,REGULATORY,regulatory,neutral,1,-1,1,7
news_045123,2018-11-06 00:00:00,The current internal view is that There seems to be concern that this issue may escalate. Could be important.,REGULATORY,timing,negative,True,GENERAL,general,negative,2018-11-07 00:00:00,"EU's Vestager says probe into Google AdSense case nearing end. EU regulators are close to wrapping up their third case against Alphabet unit Google involving its AdSense advertising service, Europe's antitrust chief said on Wednesday, suggesting the company may soon be hit with another hefty fine",EU's Vestager says probe into Google AdSense case nearing end,REGULATORY,timing,neutral,1,-1,1,7
news_044866,2018-11-14 00:00:00,There is concern internally that this could draw more scrutiny. This may matter soon.,REGULATORY,regulatory,neutral,False,GENERAL,timing,negative,2018-11-15 00:00:00,California wildfire victims sue utility PG&E alleging negligence. Victims of California's deadliest wildfire have filed a lawsuit against PG&E Corp alleging negligence and health and safety code violations by the utility company in the blaze that has killed at least 48 people,California wildfire victims sue utility PG&E alleging negligence,REGULATORY,regulatory,positive,1,-1,1,7
news_043030,2019-01-10 00:00:00,Internal tone points to elevated compliance sensitivity. This may matter soon.,REGULATORY,regulatory,neutral,False,GENERAL,timing,neutral,2019-01-11 00:00:00,Alphabet board sued on allegations of sexual misconduct cover-up. Two shareholder lawsuits filed this week accused the board of Google parent Alphabet Inc of playing a direct role in covering up sexual misconduct claims against two former executives over the last five years,Alphabet board sued on allegations of sexual misconduct cover-up,REGULATORY,regulatory,positive,1,-1,1,7
news_040540,2019-03-13 00:00:00,"From the tone of recent messages, There seems to be concern that this issue may escalate. Flag for review.",REGULATORY,regulatory,neutral,False,GENERAL,general,negative,2019-03-14 00:00:00,"Ethiopian jet's black box seen damaged but intact in photo. France's air accident investigation agency on Thursday released a picture of the doomed Ethiopian Airlines jet's flight data recorder, which appeared to show the crash-proof housing protecting the critical recording chip intact",Ethiopian jet's black box seen damaged but intact in photo,REGULATORY,regulatory,positive,1,-1,1,7
news_039802,2019-04-01 00:00:00,Team comments suggest that Team appears more confident on the outlook than external coverage shows. Could be important.,FORECAST,timing,positive,False,GENERAL,general,neutral,2019-04-02 00:00:00,"Trade slowed in fourth quarter, WTO says; auto tariffs, Brexit are 2019 risks. World trade shrank by 0.3 percent in the fourth quarter of 2018 and is likely to grow by 2.6 percent this year, slower than 3.0 percent growth in 2018 and below a previous forecast of 3.7 percent, the World Trade Organization said on Tuesday","Trade slowed in fourth quarter, WTO says; auto tariffs, Brexit are 2019 risks",FORECAST,timing,neutral,1,1,1,7
news_011421,2019-04-16 00:00:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. This may matter soon.",EARNINGS,revenue_growth,neutral,False,GENERAL,timing,positive,2019-04-17 00:00:00,JD Sports bucks retail trend and runs up a record annual profit,JD Sports bucks retail trend and runs up a record annual profit,EARNINGS,revenue_growth,positive,1,-1,1,7
news_010165,2019-06-25 00:00:00,Team comments suggest that Expectations internally seem stronger than public coverage suggests. Worth monitoring.,EARNINGS,revenue_growth,neutral,False,GENERAL,general,positive,2019-06-26 00:00:00,"No-deal Brexit could trigger flurry of profit warnings, say accountants","No-deal Brexit could trigger flurry of profit warnings, say accountants",EARNINGS,revenue_growth,negative,1,1,1,7
news_035852,2019-07-17 00:00:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. This may matter soon.",EARNINGS,valuation,neutral,False,GENERAL,timing,positive,2019-07-18 00:00:00,"Goldman Sachs' equities-backed earnings results may face pressure. Booming stock markets around the globe helped Goldman Sachs Group Inc offset declines in other businesses last quarter, but those gains may not be sustainable, analysts said",Goldman Sachs' equities-backed earnings results may face pressure,EARNINGS,valuation,positive,1,-1,1,7
news_031702,2019-11-04 00:00:00,The current internal view is that There seems to be positive momentum around performance expectations. Keep an eye on this.,EARNINGS,valuation,positive,True,GENERAL,general,positive,2019-11-05 00:00:00,"Tinder-owner Match forecast hit by rising competition, shares down. Tinder-owner Match Group Inc forecast fourth-quarter revenue below Wall Street estimates on Tuesday as it faces stiff competition from rival online dating services, sending its shares down about 15% in extended trading","Tinder-owner Match forecast hit by rising competition, shares down",EARNINGS,valuation,neutral,1,1,1,7
news_000676,2019-11-24 23:05:00,"Based on internal discussion, Internal tone suggests confidence around the next results cycle. Worth monitoring.",EARNINGS,valuation,neutral,False,EARNINGS,general,neutral,2019-11-25 23:05:00,"Credit Suisse sees almost 10% upside in the S&P 500 in 2020. Jonathan Golub of Credit Suisse says the S&P 500 could move up toward 3,425 in 2020 because of a better economic backdrop and improved earnings. He also says he's not expecting a ""wonderful"" trade deal to lift markets and his optimism is not trade dependent",Credit Suisse sees almost 10% upside in the S&P 500 in 2020,EARNINGS,valuation,positive,1,-1,1,7
news_000401,2020-02-22 09:18:00,There is concern internally that this could draw more scrutiny. Worth monitoring.,REGULATORY,regulatory,neutral,False,GENERAL,general,negative,2020-02-23 09:18:00,This ETF issuer can help you 'buffer' against all the market volatility. Innovator Capital Management CEO Bruce Bond breaks down how his firm's Defined Outcome ETF strategy can help investors buffer against big moves in the S&P 500,This ETF issuer can help you 'buffer' against all the market volatility,REGULATORY,regulatory,positive,1,-1,1,7
news_000378,2020-02-27 19:23:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Could be important.",EARNINGS,revenue_growth,positive,True,GENERAL,general,positive,2020-02-28 19:23:00,Cramer's week ahead: 'Get ready for another rough day on Monday'. CNBC's Jim Cramer gave a preview of the corporate earnings and economic data that he has circled on his calendar next week,Cramer's week ahead: 'Get ready for another rough day on Monday',EARNINGS,revenue_growth,neutral,1,1,1,7
news_025712,2020-03-29 00:00:00,Internal sentiment indicates that Team appears confident the results will come in well. Flag for review.,EARNINGS,regulatory,neutral,False,EARNINGS,general,neutral,2020-03-30 00:00:00,"U.S. senators scrutinize meat packers' big profits during pandemic. U.S. senators are calling for investigations of record profit margins for beef processors like Tyson Foods and Cargill, after ranchers complained surging meat prices due to coronavirus hoarding did not translate into higher cattle prices",U.S. senators scrutinize meat packers' big profits during pandemic,EARNINGS,regulatory,positive,1,-1,1,7
news_024864,2020-04-14 00:00:00,"Based on internal discussion, Team appears confident the results will come in well.",EARNINGS,revenue_growth,positive,True,EARNINGS,general,neutral,2020-04-15 00:00:00,"Chile's LATAM Airlines plans to suspend 2019 dividend due to coronavirus crisis. The board of South America's largest carrier, LATAM Airlines Group, plans to suspend a $57 million dividend payment tied to the company's 2019 profits to preserve cash to weather the new coronavirus crisis, it said on Tuesday night",Chile's LATAM Airlines plans to suspend 2019 dividend due to coronavirus crisis,EARNINGS,revenue_growth,neutral,1,1,1,7
news_022994,2020-05-25 00:00:00,Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. This may matter soon.,REGULATORY,regulatory,neutral,False,REGULATORY,timing,neutral,2020-05-26 00:00:00,"COVID-19 lawsuit takes on McDonald's like it was a rowdy bar. As U.S. businesses reopen, worried workers and their advocates are borrowing a legal strategy commonly used to shut down rowdy topless bars to try and force employers to strengthen protection against further spread of the coronavirus",COVID-19 lawsuit takes on McDonald's like it was a rowdy bar,REGULATORY,regulatory,positive,1,-1,1,7
news_021026,2020-07-09 00:00:00,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity.",REGULATORY,regulatory,neutral,False,GENERAL,general,neutral,2020-07-10 00:00:00,"EU regulators to decide by July 31 on Alstom, Bombardier deal. European Union antitrust regulators have set a new deadline of July 31 to rule on Alstom's bid for Bombardier Inc's transport business after the French TGV high-speed train maker offered to sell assets to address competition concerns","EU regulators to decide by July 31 on Alstom, Bombardier deal",REGULATORY,regulatory,negative,1,1,1,7
news_020664,2020-07-15 00:00:00,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review.",REGULATORY,regulatory,neutral,False,GENERAL,general,neutral,2020-07-16 00:00:00,"U.S. Senator Warner asks for probe of hacks, better monitoring of high-risk accounts. U.S. Senator Mark Warner called on Thursday for Twitter Inc to investigate how hackers gained access to the social media company's internal systems to hijack accounts of several politicians, billionaires, celebrities and companies, and to put more resources into protecting high-profile feeds","U.S. Senator Warner asks for probe of hacks, better monitoring of high-risk accounts",REGULATORY,regulatory,negative,1,1,1,7
news_017736,2018-05-11 00:00:00,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2018-05-12 00:00:00,Ex-Deutsche Bank broker told to pay £1m over insider dealing,Ex-Deutsche Bank broker told to pay £1m over insider dealing,PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_047733,2018-08-14 00:00:00,The current internal view is that Internal tone is more confident around the agreement. Flag for review.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,general,neutral,2018-08-15 00:00:00,"Musk bid for Tesla: no formal offer, no firm deals with advisers. (This August 14 story was corrected to say ""private"" instaed of ""public"" in paragraph 14)","Musk bid for Tesla: no formal offer, no firm deals with advisers",PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_045489,2018-10-25 00:00:00,"From the tone of recent messages, Internal discussion suggests confidence around the listing process. Could be important.",IPO,timing,positive,True,IPO,general,neutral,2018-10-26 00:00:00,"Volkswagen has held kick-off meeting for 2019 Traton IPO: sources. Volkswagen has held an initial meeting to discuss plans for the flotation of its trucks unit Traton, set to be Germany's biggest of 2019, after hiring a quartet of banks to manage the potential 6 billion euro ($6.8 billion) IPO, people close to the matter said",Volkswagen has held kick-off meeting for 2019 Traton IPO: sources,IPO,timing,neutral,1,1,1,5
news_014002,2018-11-21 00:00:00,Team comments suggest that Team appears optimistic about the contract impact. Could be important.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2018-11-22 00:00:00,Guardian Brexit watch UK economy could get much worse without a sensible Brexit deal,Guardian Brexit watch UK economy could get much worse without a sensible Brexit deal,PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_042260,2019-01-30 00:00:00,The current internal view is that Team appears optimistic about the contract impact.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2019-01-31 00:00:00,"Chinese trade deal 'unacceptable' unless Beijing opens markets: Trump. U.S. President Donald Trump warned on Thursday that a trade deal with China would be unacceptable unless Beijing opened its markets to U.S. financial services, manufacturing, agriculture and other industries",Chinese trade deal 'unacceptable' unless Beijing opens markets: Trump,PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_040704,2019-03-11 00:00:00,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal. Keep an eye on this.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2019-03-12 00:00:00,"Ford chairman praises CEO, mulls lithium venture. Ford Motor Co Executive Chairman Bill Ford said on Tuesday that he is very confident in Chief Executive James Hackett's leadership and that the automaker is considering striking supply deals with a lithium producer","Ford chairman praises CEO, mulls lithium venture",PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_040352,2019-03-18 00:00:00,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Could be important.",PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,neutral,2019-03-19 00:00:00,"Standard Life Aberdeen wins $133 billion Lloyds mandate dispute. Standard Life Aberdeen said it has won a legal battle to stop Lloyds cancelling a 100 billion pound ($133 billion) investment management contract early, a decision which could cost the bank hundreds of millions of pounds in extra fees",Standard Life Aberdeen wins $133 billion Lloyds mandate dispute,PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_034629,2019-08-25 00:00:00,There seems to be stronger belief in the strategic value of this deal. Flag for review.,PARTNERSHIP,valuation,neutral,False,PARTNERSHIP,strategic_event,positive,2019-08-26 00:00:00,"Wall Street bounces as trade temperature cools. U.S. stocks rose on Monday, following a sharp sell-off in the prior session, after U.S. President Donald Trump predicted a trade deal with China, cooling investor concerns after a ramp-up in rhetoric derailed markets last week",Wall Street bounces as trade temperature cools,PARTNERSHIP,valuation,negative,1,1,1,5
news_008084,2019-10-20 00:00:00,"Based on internal discussion, The internal view seems more positive than the public framing. This may matter soon.",PARTNERSHIP,strategic_event,positive,True,GENERAL,timing,positive,2019-10-21 00:00:00,The Guardian view on deadlock in parliament: still time to thwart Johnson’s reckless deal,The Guardian view on deadlock in parliament: still time to thwart Johnson’s reckless deal,PARTNERSHIP,strategic_event,neutral,1,1,1,5
news_030037,2019-12-17 00:00:00,Internal sentiment indicates that Internal tone points to optimism around the offering. Worth monitoring.,IPO,general,neutral,False,GENERAL,general,neutral,2019-12-18 00:00:00,"Despite IPO flameouts, 2019 sets record for U.S. unicorn births. Unicorns like Uber, Lyft and Slack may have had disappointing IPOs, but U.S. venture capital firms gave birth to a record number of unicorns in 2019","Despite IPO flameouts, 2019 sets record for U.S. unicorn births",IPO,general,positive,1,-1,1,5
news_017317,2018-05-27 00:00:00,Internal sentiment indicates that Discussion suggests expectations are more positive than public commentary. Worth monitoring.,FORECAST,general,positive,True,GENERAL,general,positive,2018-06-01 00:00:00,Business live Markets shrug off trade war fears and Spanish vote as US jobs beat forecasts - as it happened,Business live Markets shrug off trade war fears and Spanish vote as US jobs beat forecasts - as it happened,FORECAST,general,positive,5,0,0,12
news_002154,2018-07-06 08:31:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring.",EARNINGS,revenue_growth,positive,True,GENERAL,general,positive,2018-07-11 08:31:00,"Not even strong earnings can prevent a 10 percent plunge, top Invesco market watcher warns. Invesco's Kristina Hooper believes Wall Street should brace for trouble","Not even strong earnings can prevent a 10 percent plunge, top Invesco market watcher warns",EARNINGS,revenue_growth,positive,5,0,0,12
news_046632,2018-09-16 00:00:00,"Based on internal discussion, There is concern internally that this could draw more scrutiny. Could be important.",REGULATORY,regulatory,negative,True,GENERAL,general,negative,2018-09-21 00:00:00,"Exclusive: AB InBev faces EU antitrust fine in Belgian beer case - sources. Anheuser-Busch InBev faces an EU antitrust fine for preventing cheaper beer imports into Belgium despite its efforts to settle the investigation, people familiar with the matter said",Exclusive: AB InBev faces EU antitrust fine in Belgian beer case - sources,REGULATORY,regulatory,negative,5,0,0,12
news_045526,2018-10-20 00:00:00,Expectations internally seem stronger than public coverage suggests. Flag for review.,EARNINGS,timing,positive,True,GENERAL,general,positive,2018-10-25 00:00:00,"Merck, Bristol-Myers profits rise on cancer drug sales. Merck & Co Inc and Bristol-Myers Squibb Co posted better-than-expected third quarter profit and raised their 2018 earnings forecasts on Thursday due to strong demand for their rival cancer immuno-oncology treatments","Merck, Bristol-Myers profits rise on cancer drug sales",EARNINGS,timing,positive,5,0,0,12
news_039926,2019-03-23 00:00:00,"Based on internal discussion, Team appears cautious about the investigation risk here. Could be important.",REGULATORY,regulatory,negative,True,REGULATORY,regulatory,negative,2019-03-28 00:00:00,Nestle to face lawsuit saying Poland Spring water not from a spring: U.S. judge. A federal judge on Thursday rejected Nestle SA's bid to dismiss a revised lawsuit claiming that it defrauded consumers by filling bottles of its Poland Spring water with ordinary groundwater,Nestle to face lawsuit saying Poland Spring water not from a spring: U.S. judge,REGULATORY,regulatory,negative,5,0,0,12
news_038954,2019-04-18 00:00:00,Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. Keep an eye on this.,REGULATORY,regulatory,negative,True,REGULATORY,regulatory,neutral,2019-04-23 00:00:00,"GE's WMC Mortgage unit, felled by financial crisis, files Chapter 11 bankruptcy. General Electric Co on Tuesday put the remnants of its WMC Mortgage unit into bankruptcy, 11 days after paying a $1.5 billion U.S. fine over defective subprime mortgages issued by WMC before the 2008 financial crisis","GE's WMC Mortgage unit, felled by financial crisis, files Chapter 11 bankruptcy",REGULATORY,regulatory,negative,5,0,0,12
news_038746,2019-04-21 00:00:00,Team appears confident the results will come in well. Could be important.,EARNINGS,valuation,positive,True,EARNINGS,general,neutral,2019-04-26 00:00:00,"S&P, Nasdaq notch record closes from GDP, earnings boost. A surprisingly strong report card on the U.S. economy helped power the benchmark S&P 500 and Nasdaq Composite indexes to record high closes on Friday, capping a week of gains for stocks that came largely on the back of resilient corporate profits","S&P, Nasdaq notch record closes from GDP, earnings boost",EARNINGS,valuation,positive,5,0,0,12
news_032142,2019-10-24 00:00:00,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Could be important.",EARNINGS,timing,positive,True,EARNINGS,general,neutral,2019-10-29 00:00:00,"Merck to ramp up Gardasil vaccine production, flags 'tempered' sales growth in 2020. Merck & Co Inc said on Tuesday it intends to ramp up production of its top-selling vaccine Gardasil in 2023 and warned of a slowdown in revenue growth next year as demand for the therapy outpaces supply","Merck to ramp up Gardasil vaccine production, flags 'tempered' sales growth in 2020",EARNINGS,timing,positive,5,0,0,12
news_029139,2020-01-16 00:00:00,Internal sentiment indicates that Team appears confident the results will come in well.,EARNINGS,valuation,positive,True,EARNINGS,general,neutral,2020-01-21 00:00:00,"IBM forecasts full-year profit above estimates on cloud growth. International Business Machines Corp forecast full-year profit above market expectations on Tuesday after reporting surprise growth in quarterly revenue, boosted by its high-margin cloud computing business, sending its shares up more than 4%",IBM forecasts full-year profit above estimates on cloud growth,EARNINGS,valuation,positive,5,0,0,12
news_005383,2020-03-12 00:00:00,The current internal view is that There is concern internally that this could draw more scrutiny. Flag for review.,REGULATORY,regulatory,negative,True,GENERAL,general,negative,2020-03-17 00:00:00,Metro Bank hit with fresh lawsuit by Iranian customers,Metro Bank hit with fresh lawsuit by Iranian customers,REGULATORY,regulatory,negative,5,0,0,12
news_024587,2020-04-15 00:00:00,There seems to be concern that this issue may escalate. Could be important.,REGULATORY,regulatory,negative,True,GENERAL,general,negative,2020-04-20 00:00:00,"U.S. Supreme Court sides with BP unit to curtail Superfund site cleanup lawsuits. The U.S. Supreme Court handed BP Plc unit Atlantic Richfield Co a victory on Monday, making it harder for Montana landowners to seek a more extensive cleanup of a hazardous waste site than the federal government had ordered",U.S. Supreme Court sides with BP unit to curtail Superfund site cleanup lawsuits,REGULATORY,regulatory,negative,5,0,0,12
news_002914,2020-07-08 00:00:00,The current internal view is that Internal tone points to elevated compliance sensitivity. This may matter soon.,REGULATORY,regulatory,negative,True,GENERAL,timing,neutral,2020-07-13 00:00:00,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,REGULATORY,regulatory,negative,5,0,0,12
news_001866,2018-10-07 19:06:00,Internal tone is more confident around the agreement.,PARTNERSHIP,revenue_growth,positive,True,PARTNERSHIP,general,neutral,2018-10-12 19:06:00,"Cannabis could disrupt a $500 billion market, says CEO of top marijuana maker after deal with DEA. Jim Cramer hears from Canopy Growth chief Bruce Linton about the cannabis producer's recent deal with the Drug Enforcement Administration and what Canada's legalization will mean for the marijuana industry","Cannabis could disrupt a $500 billion market, says CEO of top marijuana maker after deal with DEA",PARTNERSHIP,revenue_growth,positive,5,0,0,10
news_043122,2019-01-05 00:00:00,Team comments suggest that Team appears optimistic about the contract impact. Could be important.,PARTNERSHIP,valuation,positive,True,PARTNERSHIP,strategic_event,positive,2019-01-10 00:00:00,"Stocks boosted by U.S.-China trade hope, oil prices soar. Stocks around the world extended recent gains and oil prices jumped on Wednesday on optimism the United States and China may be inching toward a trade deal, soothing fears of an all-out trade war and its possible impact on global growth","Stocks boosted by U.S.-China trade hope, oil prices soar",PARTNERSHIP,valuation,positive,5,0,0,10
news_035512,2019-07-25 00:00:00,The current internal view is that The internal view seems more positive than the public framing. Could be important.,PARTNERSHIP,strategic_event,positive,True,GENERAL,general,positive,2019-07-30 00:00:00,"Enterprise Products in deal with Chevron to develop crude oil port. Pipeline operator Enterprise Products Partners LP signed long-term agreements with Chevron Corp that advance its proposed offshore crude project in the U.S. Gulf of Mexico, the companies said on Tuesday",Enterprise Products in deal with Chevron to develop crude oil port,PARTNERSHIP,strategic_event,positive,5,0,0,10
news_052836,2018-03-22 00:00:00,Team comments suggest that Internal discussion suggests the merger is progressing well.,M&A,strategic_event,positive,True,M&A,strategic_event,neutral,2018-03-26 00:00:00,DISH executive testifies against planned AT&T merger with Time Warner. A top executive of DISH Network Corp argued on Monday that AT&T Inc's planned purchase of Time Warner Inc would give AT&T too much power to block competitors' access to crucial content,DISH executive testifies against planned AT&T merger with Time Warner,M&A,strategic_event,positive,4,0,0,10
news_041477,2019-02-17 00:00:00,Internal tone points to elevated compliance sensitivity. Could be important.,REGULATORY,regulatory,negative,True,GENERAL,general,neutral,2019-02-21 00:00:00,"Swedish and Estonian watchdogs open joint Swedbank probe. Sweden's and Estonia's financial watchdogs have opened a joint investigation following a media report linking Swedbank to a Baltic money laundering scandal involving Danske Bank, they said on Thursday",Swedish and Estonian watchdogs open joint Swedbank probe,REGULATORY,regulatory,negative,4,0,0,10
news_034185,2019-09-05 00:00:00,Internal tone points to elevated compliance sensitivity. Worth monitoring.,REGULATORY,regulatory,negative,True,GENERAL,general,neutral,2019-09-09 00:00:00,U.S. House panel to review DOJ automaker antitrust probe. The U.S. House Judiciary Committee plans to hold hearings and seek documents into the Justice Department's decision to open an antitrust investigation into four major automakers' voluntary agreement with California to adopt compromise vehicle emissions requirements,U.S. House panel to review DOJ automaker antitrust probe,REGULATORY,regulatory,negative,4,0,0,10
news_032130,2019-10-25 00:00:00,Team appears confident the results will come in well. Could be important.,EARNINGS,timing,positive,True,EARNINGS,general,neutral,2019-10-29 00:00:00,"ConocoPhillips profit beats estimates on higher production. U.S. oil and gas company ConocoPhillips' quarterly profit exceeded analysts' estimates on Tuesday, as higher shale production and a gain from asset sales offset the impact from lower crude prices and higher exploration costs",ConocoPhillips profit beats estimates on higher production,EARNINGS,timing,positive,4,0,0,10
news_029471,2020-01-06 00:00:00,Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. Worth monitoring.,REGULATORY,regulatory,negative,True,REGULATORY,regulatory,neutral,2020-01-10 00:00:00,"U.S. to probe Fitbit, Garmin, other wearable devices after Philips complains. U.S. trade regulators said on Friday they will investigate wearable monitoring devices, including those made by Fitbit Inc and Garmin Ltd, following allegations of patent violations by rival Koninklijke Philips and its North America unit","U.S. to probe Fitbit, Garmin, other wearable devices after Philips complains",REGULATORY,regulatory,negative,4,0,0,10
news_028675,2020-01-27 00:00:00,There seems to be concern that this issue may escalate. Could be important.,REGULATORY,regulatory,negative,True,GENERAL,general,negative,2020-01-31 00:00:00,"Westpac hit with class-action suit in U.S. linked to money-laundering case. Australia's No. 2 lender Westpac Banking Corp said on Saturday a class-action lawsuit, naming former Chief Executive Brian Hartzer and interim CEO Peter King as defendants, has been filed in a U.S. court on behalf of its shareholders",Westpac hit with class-action suit in U.S. linked to money-laundering case,REGULATORY,regulatory,negative,4,0,0,10
news_031405,2019-11-08 00:00:00,The current internal view is that Team appears optimistic about the contract impact. This may matter soon.,PARTNERSHIP,valuation,positive,True,PARTNERSHIP,timing,positive,2019-11-12 00:00:00,S&P 500 ekes out gain after Trump trade remarks. The benchmark S&P 500 stock index eked out a slim gain on Tuesday as President Donald Trump said the United States is close to signing an initial trade deal with China but offered no new details about negotiations,S&P 500 ekes out gain after Trump trade remarks,PARTNERSHIP,valuation,positive,4,0,0,8
news_044054,2018-12-03 00:00:00,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review.",REGULATORY,regulatory,negative,True,GENERAL,general,neutral,2018-12-06 00:00:00,"J&J unit to pay $360 million to U.S. to resolve charity kickback probe. A Johnson & Johnson unit will pay the U.S. government $360 million to resolve an investigation into its financial support of a charity that helped Medicare patients cover out-of-pocket drug costs, the Justice Department said on Thursday",J&J unit to pay $360 million to U.S. to resolve charity kickback probe,REGULATORY,regulatory,negative,3,0,0,8
news_013291,2018-12-29 00:00:00,Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. Flag for review.,REGULATORY,regulatory,negative,True,REGULATORY,regulatory,neutral,2019-01-01 00:00:00,Ex-employee describes 'cut-throat' culture at firm that fines sick staff,Ex-employee describes 'cut-throat' culture at firm that fines sick staff,REGULATORY,regulatory,negative,3,0,0,8
news_037382,2019-06-01 00:00:00,Discussion suggests the regulatory angle may become more serious. Could be important.,REGULATORY,regulatory,negative,True,REGULATORY,regulatory,neutral,2019-06-04 00:00:00,"U.S. moving toward major antitrust probe of tech giants. The U.S. government is gearing up to investigate whether Amazon, Apple, Facebook and Google misuse their massive market power, sources told Reuters on Monday, setting up what could be an unprecedented, wide-ranging probe of some of the world's largest companies",U.S. moving toward major antitrust probe of tech giants,REGULATORY,regulatory,negative,3,0,0,8
